county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
anderson,Piedmont,502,880,57.04545454545455,50,5,1,2,3,170,3,0,234,101,2,3,7,378,0,8,499,105,13,371,4,1,494,91,392,2,485
anderson,Piercetown,1163,1911,60.858189429618,80,8,0,6,3,444,1,7,549,178,3,13,8,928,6,24,1160,157,21,945,2,1,1126,154,960,1,1115
anderson,Rock Mill,652,1140,57.19298245614035,45,3,0,5,0,233,0,0,286,118,0,3,2,514,3,7,647,96,10,521,1,0,628,99,514,1,614
anderson,Rock Spring,465,792,58.71212121212122,65,5,0,1,1,128,2,2,204,104,0,2,0,347,1,9,463,103,4,330,1,0,438,93,337,0,430
anderson,Shirley's Store,477,768,62.109375,54,4,0,1,0,182,2,2,245,86,0,1,0,375,1,8,471,81,8,365,3,1,458,84,371,0,455
anderson,Simpsonville,1499,2492,60.15248796147673,104,2,3,4,4,586,4,8,715,251,9,14,8,1163,1,42,1488,231,42,1180,14,1,1468,233,1220,0,1453
anderson,Starr,526,831,63.29723225030084,31,4,3,4,0,172,2,1,217,68,1,1,0,445,0,8,523,76,9,416,2,1,504,61,436,1,498
anderson,Three and Twenty,1407,2333,60.308615516502364,90,3,1,3,3,608,4,6,718,184,5,16,3,1158,0,32,1398,166,38,1161,13,1,1379,172,1192,1,1365
anderson,Toney Creek,312,533,58.536585365853654,22,1,0,2,0,126,2,1,154,42,0,1,3,255,1,8,310,42,10,242,7,0,301,33,261,0,294
anderson,Townville,437,732,59.699453551912576,28,1,1,0,0,170,2,2,204,68,2,4,3,345,1,8,431,61,17,332,4,0,414,58,347,0,405
anderson,Town Creek,769,1616,47.586633663366335,51,2,0,2,1,235,1,0,292,154,3,12,2,563,1,22,757,112,11,627,2,0,752,123,615,0,738
anderson,West Pelzer,1001,1763,56.778218944980154,64,4,0,4,1,404,2,3,482,145,3,3,4,816,0,21,992,140,23,791,6,1,961,133,810,1,944
anderson,West Savannah,194,301,64.45182724252491,32,0,0,1,0,58,1,2,94,52,1,0,0,136,1,3,193,45,5,132,2,0,184,45,139,0,184
anderson,White Plains,1732,2860,60.55944055944056,134,13,0,11,5,681,5,7,856,255,9,17,14,1373,2,40,1710,260,38,1364,13,2,1677,238,1421,1,1660
anderson,Williamston,1230,2241,54.886211512717544,134,6,1,8,3,401,3,8,564,245,4,12,9,912,2,33,1217,219,25,927,5,1,1177,214,937,1,1152
anderson,Williamston Mill,1408,2735,51.480804387568554,118,13,0,4,3,575,7,9,729,215,2,6,7,1141,1,25,1397,202,33,1106,18,2,1361,198,1136,2,1336
anderson,Wright's School,485,734,66.07629427792916,25,6,0,1,2,187,1,0,222,55,1,2,1,418,0,3,480,63,4,400,4,0,471,46,417,0,463
anderson,Anderson 1/1,687,1659,41.41048824593128,122,7,4,7,2,199,2,2,345,257,1,10,7,391,0,18,684,217,15,430,3,0,665,226,426,0,652
anderson,Anderson 1/2,687,1301,52.805534204458105,61,2,1,1,0,186,2,4,257,171,4,5,4,479,2,14,679,124,13,530,2,2,671,132,529,3,664
anderson,Anderson 2/1,675,1375,49.09090909090909,69,2,0,1,3,184,1,2,262,174,3,20,10,441,0,22,670,154,17,484,2,0,657,160,475,2,637
anderson,Anderson 2/2,1172,2500,46.88,205,9,0,6,5,300,3,3,531,399,3,21,6,691,1,36,1157,325,29,765,13,0,1132,346,771,0,1117
anderson,Anderson 3/1,347,941,36.87566418703507,124,6,0,4,0,52,3,0,189,198,0,6,2,123,1,11,341,184,3,145,6,0,338,180,145,1,326
anderson,Anderson 3/2,1112,2542,43.74508261211644,560,10,0,7,3,158,4,0,742,773,3,6,4,309,1,9,1105,725,7,335,6,2,1075,728,327,0,1055
anderson,Anderson 4/1,307,776,39.56185567010309,178,4,1,1,0,29,3,1,217,242,1,2,1,51,1,8,306,220,7,65,3,0,295,223,65,0,288
anderson,Anderson 4/2,330,827,39.90326481257557,234,4,0,0,0,11,2,0,251,288,0,0,4,33,1,3,329,269,2,44,5,0,320,278,36,0,314
anderson,Anderson 5/A,308,960,32.083333333333336,181,3,1,2,2,40,3,1,233,217,0,2,3,78,0,5,305,198,5,93,2,0,298,211,84,0,295
anderson,Anderson 5/B,516,1389,37.14902807775378,342,5,0,3,1,45,2,0,398,414,1,6,2,92,0,1,516,398,2,94,3,0,497,400,93,0,493
anderson,Anderson 6/1,874,1808,48.34070796460177,129,7,1,7,4,214,2,4,368,284,3,17,9,510,2,35,860,231,22,586,2,0,841,246,571,1,818
anderson,Anderson 6/2,177,441,40.136054421768705,118,4,1,2,1,11,0,1,138,153,0,0,1,21,0,2,177,137,1,34,0,0,172,140,29,0,169
anderson,Varennes,554,1291,42.91247095274981,161,8,1,5,0,169,3,2,349,211,2,6,3,315,1,10,548,205,13,306,6,0,530,205,313,1,519
anderson,Lakeside,1188,2445,48.58895705521473,308,11,2,6,3,299,4,4,637,445,6,8,5,699,3,13,1179,423,30,679,10,0,1142,430,689,0,1119
anderson,Centerville Station B,1358,2738,49.59824689554419,200,9,1,13,2,416,5,9,655,367,3,12,9,921,1,32,1345,330,26,950,20,0,1326,330,966,0,1296
anderson,Edgewood Station B,1041,2034,51.17994100294986,104,1,0,6,1,335,2,2,451,226,2,24,4,747,1,27,1031,174,20,809,6,1,1010,195,791,5,991
anderson,Cox's Creek,457,1198,38.14691151919866,34,2,0,2,1,136,1,2,178,113,0,11,1,304,1,24,454,80,10,349,1,0,440,89,340,0,429
anderson,Mt. Airy,1450,2266,63.98940864960282,92,4,0,7,1,566,2,1,673,222,7,18,2,1162,0,30,1441,182,25,1200,6,0,1413,187,1207,1,1395
anderson,Belton Annex,1004,1802,55.71587125416204,133,7,3,7,3,329,3,2,487,235,2,8,6,719,1,25,996,220,26,728,5,0,979,207,758,2,967
anderson,Powdersville,1687,2845,59.29701230228471,186,6,1,4,8,609,5,6,825,336,10,10,13,1269,0,34,1672,324,32,1276,8,1,1641,321,1309,2,1632
anderson,Glenview,955,1886,50.63626723223754,142,7,0,10,5,256,4,2,426,298,5,15,12,606,0,14,950,259,13,649,3,1,925,273,642,1,916
anderson,Hammond Annex,867,1892,45.82452431289641,65,6,0,4,3,223,2,1,304,207,4,18,4,609,0,18,860,157,12,676,0,0,845,182,655,1,838
anderson,Center Rock,1293,2284,56.611208406304726,134,9,0,10,0,437,5,1,596,260,2,10,2,990,3,17,1284,259,27,954,8,1,1249,233,989,0,1222
anderson,Hunt Meadows,2345,3852,60.87746625129803,162,7,0,7,4,954,5,3,1142,375,16,23,14,1834,4,62,2328,322,49,1904,11,2,2288,334,1924,2,2260
