"county","precinct","bc","rv","vtp","dem","wf","constitution","independence","green","gop","american","libertarian","sttotal","clinton","castle","mcmullin","stein","trump","skewes","johnson","potustotal","dixon","bledsoe","scott","scarborough","senwritein","sentotal","cleveland","duncan","housewritein","housetotal"
"pickens","Forest Acres",517,1002,51.5968063872255,60,2,1,2,4,171,2,1,243,122,0,5,7,363,0,12,509,115,8,378,3,1,505,118,382,1,501
"pickens","Crestview",700,1170,59.8290598290598,31,2,0,2,3,251,0,2,291,117,3,7,8,539,0,21,695,82,14,590,1,0,687,84,598,0,682
"pickens","Sitton",866,1393,62.1679827709978,80,1,0,1,2,293,1,4,382,176,1,10,2,641,2,24,856,139,17,686,2,1,845,137,692,1,830
"pickens","Rock Springs",712,1213,58.6974443528442,59,3,0,0,1,251,2,2,318,135,1,11,6,533,3,15,704,117,13,559,7,0,696,117,566,0,683
"pickens","Saluda",689,1208,57.0364238410596,79,5,0,4,2,290,4,1,385,136,2,7,7,519,0,10,681,132,15,518,6,0,671,119,541,0,660
"pickens","Crosswell",893,1467,60.8725289706885,67,3,0,4,2,373,5,2,456,140,3,7,3,713,3,20,889,128,20,719,9,1,877,134,733,2,869
"pickens","Georges Creek",660,1076,61.3382899628253,54,1,1,2,0,259,0,1,318,122,2,3,4,509,0,17,657,103,15,526,1,3,648,103,534,2,639
"pickens","McKissick",696,1324,52.5679758308157,82,1,2,4,0,231,1,3,324,178,5,8,7,480,0,10,688,146,13,509,2,1,671,149,512,0,661
"pickens","Vinland",651,1052,61.8821292775665,26,0,0,2,2,328,1,1,360,80,0,4,3,549,1,11,648,68,12,552,2,0,634,71,557,0,628
"pickens","Crossroads",776,1253,61.9313647246608,25,3,3,2,3,299,2,2,339,89,4,3,5,656,3,13,773,72,15,658,6,0,751,71,664,0,735
"pickens","Dacusville",687,1073,64.0260950605778,36,2,0,4,1,286,1,1,331,95,2,2,3,572,0,12,686,83,16,575,2,0,676,80,588,0,668
"pickens","Nine Forks",796,1235,64.4534412955466,30,9,1,0,1,323,2,0,366,74,5,5,6,692,1,8,791,78,15,685,3,1,782,65,697,3,765
"pickens","South Central",606,1246,48.6356340288925,125,7,0,2,5,147,4,1,291,237,0,17,10,308,4,25,601,209,17,352,3,1,582,222,351,1,574
"pickens","Crescent Hill",694,1289,53.8401861908456,13,1,2,2,2,224,3,3,250,75,6,3,8,581,4,12,689,52,13,601,5,2,673,52,605,1,658
"pickens","North Liberty",627,1140,55,49,3,0,4,1,239,2,3,301,100,2,3,4,489,0,25,623,99,12,496,2,3,612,97,506,2,605
"pickens","Pendleton",594,1029,57.7259475218659,28,2,0,1,1,249,2,1,284,65,1,2,4,503,1,17,593,60,18,496,5,0,579,62,513,0,575
"pickens","Fruit Mountain",556,931,59.7207303974221,43,5,0,2,1,218,4,1,274,90,0,6,1,435,0,19,551,86,10,436,6,1,539,77,458,0,535
"pickens","Pope Field",525,984,53.3536585365854,60,1,0,3,2,143,1,2,212,117,1,9,5,376,1,11,520,104,9,393,2,1,509,107,395,2,504
"pickens","Sheffield",800,1384,57.8034682080925,66,6,0,0,1,233,0,3,309,167,1,8,2,603,1,13,795,116,15,650,1,0,782,120,651,1,772
"pickens","Tri County",333,576,57.8125,34,1,1,2,0,105,0,3,146,75,2,4,2,237,0,11,331,67,9,251,2,0,329,70,254,1,325
"pickens","McAllister",564,1168,48.2876712328767,64,5,1,3,1,191,1,1,267,118,3,3,3,414,2,14,557,96,10,438,3,2,549,102,442,0,544
"pickens","Lenhart",635,1039,61.11645813282,61,1,1,5,3,230,0,0,301,135,4,8,5,469,0,8,629,110,9,490,1,1,611,117,483,1,601
